method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,json,dec-ase21-h,1.0,0.796,0.8864142538975501,25.560997486114502,19.31900978088379,3249.0,18384.0,13.0,110.0,1.2363636363636363,136.0,74.0,4.516767740249634,21076.0
arvada,json,dec-ase21-h,1.0,0.794,0.8851727982162765,25.249285221099854,19.093512535095215,3207.0,18324.0,12.0,108.0,1.2407407407407407,134.0,74.0,3.9107167720794678,21152.0
arvada,json,dec-ase21-h,1.0,0.81,0.8950276243093923,25.92303490638733,19.583945274353027,3306.0,18336.0,12.0,114.0,1.236842105263158,141.0,74.0,4.6179633140563965,21192.0
arvada,json,dec-ase21-h,1.0,0.803,0.8907376594564616,28.223218202590942,21.999760389328003,3672.0,18492.0,12.0,111.0,1.2522522522522523,139.0,74.0,3.709242820739746,21100.0
arvada,json,dec-ase21-h,1.0,0.794,0.8851727982162765,27.408525705337524,20.30520248413086,3365.0,18380.0,14.0,110.0,1.2272727272727273,135.0,74.0,4.055476665496826,21320.0
arvada,json,dec-ase21-h,0.925,0.794,0.8545084351367074,25.72844409942627,19.3096764087677,3251.0,18484.0,13.0,108.0,1.2314814814814814,133.0,74.0,4.494645833969116,21276.0
arvada,json,dec-ase21-h,0.919,0.578,0.7096619906479625,28.264652729034424,21.174283027648926,3574.0,18472.0,14.0,114.0,1.2280701754385965,140.0,74.0,2.4493560791015625,20640.0
arvada,json,dec-ase21-h,1.0,0.81,0.8950276243093923,26.30472707748413,19.925978899002075,3357.0,18416.0,13.0,115.0,1.2260869565217392,141.0,74.0,4.011895656585693,20976.0
arvada,json,dec-r1,0.819,0.873,0.8451382978723404,76.42756175994873,53.358614921569824,8222.0,27752.0,21.0,130.0,1.2923076923076924,168.0,74.0,10.259984970092773,22148.0
arvada,json,dec-r1,0.68,0.874,0.764890604890605,79.02412128448486,55.76710081100464,8716.0,25136.0,24.0,132.0,1.2651515151515151,167.0,74.0,6.607217788696289,23164.0
arvada,json,dec-r1,0.669,0.873,0.7575058365758756,78.80757331848145,55.409868240356445,8548.0,26832.0,22.0,129.0,1.2868217054263567,166.0,74.0,8.684310674667358,22360.0
arvada,json,dec-r1,0.691,0.984,0.8118734328358209,95.93379139900208,66.55724501609802,10165.0,27540.0,25.0,136.0,1.286764705882353,175.0,74.0,8.798601627349854,23552.0
arvada,json,dec-r1,0.777,0.87,0.8208743169398907,101.34942150115967,66.10552597045898,9937.0,27880.0,23.0,136.0,1.3308823529411764,181.0,74.0,9.539603233337402,22368.0
arvada,json,dec-r1,0.906,0.887,0.8963993307306191,100.80956673622131,66.43112206459045,10119.0,27204.0,24.0,135.0,1.2962962962962963,175.0,74.0,6.8771913051605225,22064.0
arvada,json,dec-r1,0.839,0.873,0.85566238317757,75.51635193824768,51.689417123794556,8131.0,24732.0,23.0,132.0,1.3106060606060606,173.0,74.0,7.017715215682983,22424.0
arvada,json,dec-r1,0.925,0.98,0.9517060367454068,73.7073826789856,52.34770679473877,8179.0,25116.0,21.0,127.0,1.2677165354330708,161.0,74.0,6.108476161956787,22380.0
arvada,json,dec-r1,0.568,0.887,0.6925305841924397,74.84185361862183,53.349719762802124,8217.0,27304.0,26.0,138.0,1.2753623188405796,176.0,74.0,10.87462067604065,23716.0
arvada,json,dec-r1,0.564,0.873,0.6852776617954072,127.23350763320923,75.74776935577393,11231.0,27776.0,26.0,140.0,1.3357142857142856,187.0,74.0,7.406159400939941,23364.0
arvada,json,dec-r2,0.841,0.873,0.8567012835472578,54.025395154953,37.58335757255554,6173.0,19856.0,17.0,117.0,1.2820512820512822,150.0,74.0,5.254397869110107,21912.0
arvada,json,dec-r2,0.733,0.877,0.7985602484472051,52.4546639919281,37.01260685920715,6042.0,19972.0,19.0,122.0,1.3032786885245902,159.0,74.0,7.883422374725342,22004.0
arvada,json,dec-r2,0.779,0.873,0.823325665859564,39.28976559638977,27.897148370742798,4560.0,20332.0,20.0,123.0,1.2601626016260163,155.0,74.0,6.879507780075073,21716.0
arvada,json,dec-r2,0.74,0.873,0.8010167389956603,47.11763143539429,32.45961093902588,5266.0,19568.0,17.0,117.0,1.2735042735042734,149.0,74.0,7.236464500427246,22040.0
arvada,json,dec-r2,0.997,0.873,0.9308887700534758,38.33357048034668,26.116154670715332,4309.0,19636.0,15.0,111.0,1.2252252252252251,136.0,74.0,6.53073525428772,21236.0
arvada,json,dec-r2,0.923,0.877,0.8994122222222223,36.19707918167114,25.04798126220703,4121.0,19756.0,18.0,120.0,1.2583333333333333,151.0,74.0,5.686618328094482,22168.0
arvada,json,dec-r2,0.883,0.876,0.8794860716316089,44.10114789009094,29.03956365585327,4752.0,20132.0,19.0,125.0,1.288,161.0,74.0,7.539637327194214,21884.0
arvada,json,dec-r2,0.561,0.88,0.6851908396946566,35.00366520881653,24.93405246734619,4042.0,20484.0,23.0,130.0,1.2769230769230768,166.0,74.0,9.223886251449585,21896.0
arvada,json,dec-r2,0.926,0.883,0.9039889441680485,58.88490128517151,41.07256245613098,6724.0,19908.0,17.0,119.0,1.3025210084033614,155.0,74.0,5.139947414398193,21420.0
arvada,json,dec-r2,0.702,0.883,0.7821652996845425,54.9611177444458,37.49300289154053,6053.0,20368.0,19.0,122.0,1.2950819672131149,158.0,74.0,5.924529075622559,22284.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,3.269197940826416,2.8833608627319336,395.0,17756.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.691025495529175,22028.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,3.4032857418060303,2.9878342151641846,419.0,17704.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.1396379470825195,21444.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,3.1050641536712646,2.715899705886841,408.0,17748.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.50581431388855,21396.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,4.125481367111206,3.6133170127868652,503.0,17672.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.631868362426758,22120.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,3.9344444274902344,3.462956190109253,463.0,17712.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.5855166912078857,21968.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,3.88889741897583,3.3961117267608643,497.0,17644.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.873755693435669,21960.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,3.5379855632781982,3.0676159858703613,446.0,17832.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.262939214706421,21532.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,3.1102254390716553,2.704165458679199,409.0,17488.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.2382586002349854,21380.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,2.96391224861145,2.603942394256592,394.0,17564.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.2698233127593994,21508.0
arvada,lisp,dec-ase21-h,1.0,0.274,0.43014128728414447,4.143743276596069,3.590012550354004,544.0,17752.0,5.0,34.0,1.2058823529411764,41.0,30.0,3.883687973022461,22136.0
arvada,lisp,dec-r1,0.948,0.713,0.8138759783263094,101.14477634429932,68.88301587104797,7659.0,29032.0,17.0,70.0,1.4142857142857144,99.0,40.0,36.07436513900757,28948.0
arvada,lisp,dec-r1,0.95,1.0,0.9743589743589743,104.6696662902832,72.70162987709045,8159.0,28340.0,14.0,63.0,1.3174603174603174,83.0,40.0,56.83675479888916,35676.0
arvada,lisp,dec-r1,0.642,0.746,0.6901037463976946,176.44010829925537,104.95472264289856,12066.0,31216.0,21.0,81.0,1.4444444444444444,117.0,40.0,91.64807963371277,40388.0
arvada,lisp,dec-r1,0.967,0.472,0.6343627519110492,98.83426022529602,65.00841307640076,7340.0,29628.0,13.0,62.0,1.3548387096774193,84.0,40.0,18.104827404022217,26588.0
arvada,lisp,dec-r1,0.939,0.933,0.9359903846153846,144.24935483932495,91.27736568450928,9325.0,37360.0,19.0,79.0,1.4683544303797469,116.0,40.0,91.7105770111084,40796.0
arvada,lisp,dec-r1,0.925,0.963,0.9436175847457627,121.39250016212463,86.84391236305237,9409.0,27608.0,11.0,61.0,1.3278688524590163,81.0,40.0,58.65460252761841,36580.0
arvada,lisp,dec-r1,0.946,0.608,0.7402419562419562,94.95776557922363,67.29498529434204,7906.0,27616.0,17.0,72.0,1.4027777777777777,101.0,40.0,53.14724159240723,30976.0
arvada,lisp,dec-r1,0.973,0.506,0.6657714672075726,124.69938445091248,73.86371779441833,8042.0,31752.0,17.0,74.0,1.4594594594594594,108.0,40.0,22.42375922203064,26404.0
arvada,lisp,dec-r1,0.853,0.713,0.776742017879949,128.15541434288025,82.23191380500793,9219.0,28576.0,15.0,65.0,1.3692307692307693,89.0,40.0,33.24736738204956,32292.0
arvada,lisp,dec-r1,0.863,0.963,0.910261774370208,233.44835782051086,115.52902030944824,12709.0,30676.0,19.0,78.0,1.564102564102564,122.0,40.0,173.48075532913208,39972.0
arvada,lisp,dec-r2,0.889,0.613,0.725641810918775,137.89643383026123,81.60453724861145,9127.0,28964.0,14.0,65.0,1.353846153846154,88.0,40.0,26.197128772735596,30792.0
arvada,lisp,dec-r2,0.939,0.625,0.7504795396419436,79.14398550987244,59.65408682823181,6967.0,25556.0,13.0,62.0,1.3387096774193548,83.0,40.0,21.006956815719604,26440.0
arvada,lisp,dec-r2,0.793,0.499,0.6125495356037152,103.27091598510742,66.29960942268372,7918.0,26400.0,17.0,73.0,1.3972602739726028,102.0,40.0,32.90403938293457,29764.0
arvada,lisp,dec-r2,0.859,0.679,0.7584668400520156,106.22533249855042,68.81240367889404,7735.0,28908.0,15.0,68.0,1.3970588235294117,95.0,40.0,24.482176065444946,28968.0
arvada,lisp,dec-r2,0.895,0.667,0.7643597951344431,120.04368734359741,71.20927906036377,8258.0,28340.0,15.0,68.0,1.3970588235294117,95.0,40.0,25.852949619293213,29504.0
arvada,lisp,dec-r2,0.897,0.963,0.9288290322580646,114.92667436599731,66.3945107460022,7738.0,28964.0,14.0,65.0,1.4,91.0,40.0,57.496671199798584,36684.0
arvada,lisp,dec-r2,0.92,0.586,0.7159628154050466,99.55515193939209,62.6219048500061,7447.0,28272.0,18.0,81.0,1.5432098765432098,125.0,40.0,29.467979431152344,28112.0
arvada,lisp,dec-r2,0.778,1.0,0.875140607424072,161.07374048233032,99.99275279045105,11148.0,36036.0,23.0,95.0,1.5052631578947369,143.0,40.0,148.44822120666504,48688.0
arvada,lisp,dec-r2,0.838,0.499,0.6255228122662677,142.23025012016296,89.14555978775024,10160.0,28824.0,18.0,80.0,1.4375,115.0,40.0,53.606342792510986,39196.0
arvada,lisp,dec-r2,0.546,0.701,0.6138668805132319,140.3671441078186,84.28074479103088,9927.0,28784.0,18.0,82.0,1.4634146341463414,120.0,40.0,135.99593877792358,38088.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,13.418454647064209,10.294690132141113,1741.0,18020.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.216806650161743,21516.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,13.039585590362549,10.003797054290771,1710.0,18296.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.644805431365967,21256.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,13.74956488609314,10.475013732910156,1803.0,18168.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.2632999420166016,21296.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,13.083204746246338,10.094707012176514,1727.0,17840.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.4780094623565674,21516.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,12.387519359588623,9.54318618774414,1637.0,18000.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.671131134033203,21504.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,13.215572595596313,10.169148445129395,1725.0,18168.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.6255669593811035,21292.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,13.491709232330322,10.35805344581604,1781.0,18268.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.2557575702667236,21600.0
