method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,xml,r1,0.99±0.03,1.0±0.0,0.99±0.02,378.8±61.47,153.3±20.32,19291.5±2064.45,50110.0±5603.47,18.6±2.27,92.2±4.08,1.53±0.08,141.3±10.34,58.0±0.0,18.96±4.66,24192.8±830.67
arvada,xml,r2,0.98±0.06,0.9±0.0,0.94±0.03,469.18±69.51,177.91±24.81,20910.4±2587.98,62069.6±12180.13,17.2±1.99,88.7±4.9,1.6±0.08,141.5±10.71,58.0±0.0,16.45±1.66,24883.6±705.91
treevada,arith,ase21-r0,1.0±0.0,1.0±0.0,1.0±0.0,2.25±0.05,2.25±0.05,366.0±0.0,18364.0±105.41,6.0±0.0,30.0±0.0,1.2±0.0,36.0±0.0,16.0±0.0,47.77±5.63,66830.8±760.71
treevada,curl,ase21-r0,0.8±0.0,0.71±0.0,0.75±0.0,357.84±6.96,332.18±6.84,19005.0±0.0,40894.4±60.96,19.0±0.0,141.0±0.0,1.39±0.0,196.0±0.0,83.0±0.0,96.77±6.46,30297.6±502.37
treevada,curl,r1,0.94±0.0,0.68±0.0,0.79±0.0,381.98±15.35,351.79±14.75,21140.0±0.0,41160.4±76.67,18.0±0.0,135.0±0.0,1.38±0.0,186.0±0.0,82.0±0.0,90.35±4.57,29992.0±605.3
treevada,curl,r2,0.75±0.0,0.79±0.0,0.77±0.0,466.01±10.58,433.88±10.41,26791.0±0.0,43348.0±75.17,19.0±0.0,137.0±0.0,1.38±0.0,189.0±0.0,84.0±0.0,132.58±3.85,32963.2±373.69
treevada,fol,ase21-r0,1.0±0.0,0.53±0.0,0.69±0.0,154.77±0.98,116.44±1.1,16252.0±0.0,28796.4±84.48,20.0±0.0,108.0±0.0,1.47±0.0,159.0±0.0,80.0±0.0,41.33±3.28,32126.4±115.1
treevada,json,ase21-h,0.98±0.0,0.94±0.0,0.96±0.0,40.61±1.06,22.21±1.33,3260.0±0.0,20656.8±87.1,15.0±0.0,178.0±0.0,1.18±0.0,210.0±0.0,86.0±0.0,4.84±0.23,22670.8±156.85
treevada,json,r1,0.96±0.0,0.9±0.0,0.93±0.0,47.74±1.06,39.09±1.01,6258.0±0.0,23763.2±76.98,17.0±0.0,178.0±0.0,1.17±0.0,208.0±0.0,82.0±0.0,6.09±0.48,22792.4±173.72
treevada,json,r2,0.97±0.0,0.98±0.0,0.97±0.0,60.22±0.99,42.68±0.79,6872.0±0.0,22334.4±87.56,15.0±0.0,171.0±0.0,1.21±0.0,207.0±0.0,79.0±0.0,7.0±1.25,22591.6±188.06
treevada,lisp,ase21-h,0.7±0.0,0.73±0.0,0.71±0.0,12.81±0.85,11.84±0.85,1840.0±0.0,19124.8±106.13,10.0±0.0,54.0±0.0,1.35±0.0,73.0±0.0,40.0±0.0,19.93±0.59,27140.0±251.85
treevada,lisp,r1,0.99±0.0,1.0±0.0,0.99±0.0,1642.51±72.59,960.83±36.27,52606.0±0.0,62149.6±92.86,18.0±0.0,95.0±0.0,1.65±0.0,157.0±0.0,40.0±0.0,136.08±7.56,38694.0±145.2
treevada,lisp,r2,0.89±0.0,0.98±0.0,0.93±0.0,211.34±2.1,169.29±1.98,16977.0±0.0,28654.4±66.83,12.0±0.0,68.0±0.0,1.44±0.0,98.0±0.0,40.0±0.0,93.83±5.46,35149.2±760.32
treevada,mathexpr,ase21-r0,1.0±0.0,0.47±0.0,0.64±0.0,49.14±0.62,41.33±0.61,6334.0±0.0,21160.8±108.25,19.0±0.0,119.0±0.0,1.39±0.0,166.0±0.0,71.0±0.0,19.34±1.95,27461.2±340.02
treevada,minic,r0,0.63±0.0,0.62±0.0,0.63±0.0,17105.49±31.41,15938.81±37.16,66717.0±0.0,120300.0±53.93,39.0±0.0,209.0±0.0,1.8±0.0,376.0±0.0,82.0±0.0,150.05±15.75,42214.0±603.6
treevada,tinyc,ase21-r0,0.74±0.0,0.9±0.0,0.81±0.0,2701.6±58.67,976.64±19.02,78018.0±0.0,176112.0±85.77,35.0±0.0,164.0±0.0,1.79±0.0,293.0±0.0,51.0±0.0,276.26±23.3,41412.0±854.68
treevada,tinyc,r1,0.86±0.0,0.97±0.0,0.91±0.0,5515.13±174.34,1862.9±100.18,114274.0±0.0,230812.8±652.28,30.0±0.0,150.0±0.0,1.76±0.0,264.0±0.0,51.0±0.0,385.55±43.37,44629.6±450.32
treevada,tinyc,r2,0.64±0.0,0.95±0.0,0.76±0.0,5452.35±66.7,1977.44±66.74,126251.0±0.0,214370.4±276.97,37.0±0.0,181.0±0.0,1.86±0.0,336.0±0.0,51.0±0.0,324.0±10.65,44938.8±1976.87
