method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.654301404953003,3.9081473350524902,576,90544.0,6,29,1.1724137931034482,34,16,131.99060320854187,87632.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.3564581871032715,3.708261489868164,575,66940.0,6,29,1.1724137931034482,34,16,59.2089307308197,61272.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.916119337081909,4.221405029296875,623,66580.0,6,29,1.1724137931034482,34,16,63.49553036689758,61252.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.564673185348511,3.8485326766967773,604,69968.0,6,29,1.1724137931034482,34,16,86.00956320762634,63504.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.65836238861084,3.952286720275879,603,97020.0,6,29,1.1724137931034482,34,16,129.07500171661377,87992.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.671227931976318,3.9051177501678467,592,93976.0,6,29,1.1724137931034482,34,16,137.91188764572144,87912.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.436279535293579,3.727980375289917,575,91092.0,6,29,1.1724137931034482,34,16,134.80620455741882,87636.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.6477460861206055,3.8628315925598145,597,92292.0,6,29,1.1724137931034482,34,16,150.5600016117096,88028.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.335532903671265,3.617544412612915,567,66832.0,6,29,1.1724137931034482,34,16,62.368037939071655,61432.0
kedavra,arith,ase21-r0,1.0,1.0,1.0,4.436602354049683,3.718453884124756,575,97376.0,6,29,1.1724137931034482,34,16,138.2570080757141,88364.0
kedavra,fol,ase21-r0,1.0,0.529,0.6919555264879007,585.096563577652,491.71352076530457,56812,77080.0,10,145,1.3103448275862069,190,80,19.612455129623413,27112.0
kedavra,fol,ase21-r0,1.0,0.529,0.6919555264879007,585.6358532905579,481.41436982154846,56246,77600.0,11,146,1.3013698630136987,190,80,25.90604591369629,26836.0
kedavra,fol,ase21-r0,1.0,1.0,1.0,620.0414717197418,531.06201004982,55009,76816.0,10,143,1.3006993006993006,186,80,36.65432143211365,38092.0
kedavra,fol,ase21-r0,1.0,0.529,0.6919555264879007,592.4036829471588,491.3444426059723,56947,77524.0,11,145,1.303448275862069,189,80,20.06950354576111,26736.0
kedavra,fol,ase21-r0,1.0,0.529,0.6919555264879007,573.7817664146423,476.63422679901123,52290,72368.0,11,145,1.303448275862069,189,80,24.01101517677307,26736.0
kedavra,fol,ase21-r0,0.875,0.452,0.5960813865862848,1204.278251171112,704.6358695030212,71811,104236.0,14,149,1.2953020134228188,193,79,15.282464504241943,25320.0
kedavra,fol,ase21-r0,1.0,0.529,0.6919555264879007,628.0088977813721,528.341192483902,57235,78748.0,11,145,1.303448275862069,189,80,17.270029067993164,26744.0
kedavra,fol,ase21-r0,1.0,0.319,0.48369977255496593,615.5410599708557,504.2759494781494,59055,80292.0,11,145,1.3103448275862069,190,80,7.6850011348724365,25264.0
kedavra,fol,ase21-r0,1.0,0.529,0.6919555264879007,600.3242044448853,501.40244460105896,56801,78376.0,11,145,1.303448275862069,189,80,17.48472833633423,27000.0
kedavra,mathexpr,ase21-r0,0.955,1.0,0.9769820971867007,947.6704344749451,328.6317825317383,34263,94260.0,18,181,1.132596685082873,205,72,208.4013512134552,74492.0
kedavra,mathexpr,ase21-r0,0.92,0.787,0.8483186877562976,406.99373388290405,98.34206080436707,13553,61808.0,18,180,1.1333333333333333,204,72,89.95549464225769,54260.0
kedavra,mathexpr,ase21-r0,0.947,0.963,0.9549329842931936,614.6859560012817,248.01908802986145,29394,91208.0,18,181,1.132596685082873,205,72,150.88032031059265,72848.0
kedavra,mathexpr,ase21-r0,0.974,0.999,0.986341611758743,303.99074721336365,177.2574484348297,21656,181264.0,18,181,1.132596685082873,205,72,623.3157787322998,172140.0
kedavra,mathexpr,ase21-r0,0.991,1.0,0.9954796584630838,1863.3305294513702,114.82864427566528,15675,183980.0,17,181,1.132596685082873,205,72,567.4919054508209,173024.0
kedavra,mathexpr,ase21-r0,0.89,0.787,0.8353369111508646,489.3742892742157,204.45246505737305,23211,181952.0,18,180,1.1333333333333333,204,72,384.9317753314972,155344.0
kedavra,mathexpr,ase21-r0,0.975,1.0,0.9873417721518987,443.62102580070496,169.31916093826294,21871,77572.0,17,180,1.1333333333333333,204,72,139.89376616477966,69560.0
kedavra,mathexpr,ase21-r0,0.906,0.787,0.8423177790903722,146.96610856056213,86.1416027545929,12877,64424.0,18,180,1.1333333333333333,204,72,113.60228705406189,59452.0
kedavra,mathexpr,ase21-r0,0.943,0.963,0.9528950682056663,568.0793318748474,115.62723565101624,15487,80524.0,18,181,1.132596685082873,205,72,123.91863059997559,73148.0
kedavra,json,ase21-h,1.0,0.981,0.9904088844018173,50.736084938049316,24.070154905319214,3720,151940.0,14,115,1.191304347826087,137,74,5.3967673778533936,22284.0
kedavra,json,ase21-h,1.0,0.955,0.9769820971867007,49.95900344848633,24.78108525276184,3885,129704.0,14,115,1.191304347826087,137,74,5.4180731773376465,21776.0
kedavra,json,ase21-h,1.0,1.0,1.0,43.82761549949646,23.76217484474182,3661,48444.0,14,115,1.191304347826087,137,74,6.604647874832153,22648.0
kedavra,json,ase21-h,1.0,0.981,0.9904088844018173,36.03870177268982,19.44347882270813,3148,87352.0,14,115,1.191304347826087,137,74,5.096145868301392,22344.0
kedavra,json,ase21-h,1.0,0.981,0.9904088844018173,42.719961404800415,24.2833993434906,3688,89312.0,14,115,1.191304347826087,137,74,5.760162591934204,22160.0
kedavra,json,ase21-h,1.0,0.955,0.9769820971867007,39.64333748817444,22.241369485855103,3315,77316.0,14,115,1.191304347826087,137,74,6.471742153167725,21824.0
kedavra,json,ase21-h,1.0,1.0,1.0,39.60053253173828,22.422523736953735,3448,273272.0,14,115,1.191304347826087,137,74,5.893172979354858,22500.0
kedavra,json,ase21-h,1.0,0.955,0.9769820971867007,41.33841514587402,23.696511030197144,3656,67572.0,14,116,1.1896551724137931,138,74,4.274644136428833,22100.0
kedavra,json,ase21-h,1.0,0.955,0.9769820971867007,48.523173809051514,26.56162714958191,3959,41748.0,14,116,1.1896551724137931,138,74,5.205275535583496,21984.0
kedavra,json,ase21-h,1.0,0.955,0.9769820971867007,41.54816293716431,24.362043619155884,3740,122472.0,14,115,1.191304347826087,137,74,6.059571266174316,21652.0
kedavra,json,r1,1.0,0.967,0.9832231825114387,60.574597120285034,44.25725555419922,6745,167848.0,13,114,1.2017543859649122,137,74,5.998905420303345,22124.0
kedavra,json,r1,1.0,0.967,0.9832231825114387,66.13145899772644,45.13360810279846,6911,175728.0,13,114,1.2017543859649122,137,74,4.723976373672485,22196.0
